Image number,Image File name,Item in image,True item  Location,Annotator,Is In Picture
0,IMAGE_000.jpg,Blue recycling bin,"center, center, far",Zach,Yes
1,IMAGE_000.jpg,Apple,"right, bottom, near",Zach,No
2,IMAGE_001.jpg,Black cup,"left, bottom, medium",Zach,Yes
3,IMAGE_001.jpg,Person,"center, center, near",Zach,No
4,IMAGE_002.jpg,Crock sandal,"center, center, medium",Zach,Yes
5,IMAGE_002.jpg,Green Cup,"top, center, far",Zach,No
6,IMAGE_003.jpg,Amazon box,"center, center, close",Zach,Yes
7,IMAGE_004.jpg,Basketball,"center, center, medium",Zach,Yes
8,IMAGE_005.jpg,Amazon box,"right, top, close",Zach,Yes
9,IMAGE_006.jpg,Globe,"left, bottom, medium",Zach,Yes
10,IMAGE_007.jpg,Basketball,"right, top, medium",Zach,Yes
11,IMAGE_007.jpg,Knife,"left, top, medium",Zach,Yes
12,IMAGE_008.jpg,Handheld vacuum,"center, center, medium",Zach,Yes
13,IMAGE_009.jpg,Light post,"center, center, far",Zach,Yes
14,IMAGE_010.jpg,Candle stick,"center, center, far",Zach,Yes
15,IMAGE_010.jpg,Cat,"top, right, far",Zach,Yes
16,IMAGE_011.jpg,Short water bottle,"center, center, close",Zach,Yes
17,IMAGE_012.jpg,Les Paul Guiter,"left, center, medium",Zach,Yes
18,IMAGE_013.jpg,Light post,"left, center, far",Zach,Yes
19,IMAGE_014.jpg,Knife,"center, top, medium",Zach,Yes
20,IMAGE_014.jpg,Flowers,"right, top, close",Zach,Yes
21,IMAGE_015.jpg,Keyboard,"center, top, close",Zach,Yes
22,IMAGE_016.jpg,Keyboard,"center, center, close",Zach,Yes
23,IMAGE_016.jpg,Mac Computer,"center, top, medium",Zach,Yes
24,IMAGE_017.jpg,Black cup,"center, center, medium",Zach,Yes
25,IMAGE_017.jpg,Blue Cup,"center, top, far",Zach,Yes
26,IMAGE_018.jpg,Light post,"right, center, far",Zach,Yes
27,IMAGE_019.jpg,Les Paul Guiter,"center, center, medium",Zach,Yes
28,IMAGE_020.jpg,Cat,"left, top, medium",Zach,Yes
29,IMAGE_021.jpg,Computer Mouse,"right, center, medium",Zach,Yes
30,IMAGE_022.jpg,Les Paul Guiter,"left, top, medium",Zach,Yes
31,IMAGE_023.jpg,Cat,"right, center, medium",Zach,Yes
32,IMAGE_024.jpg,Flowers,"center, center, medium",Zach,Yes
33,IMAGE_024.jpg,Knife,"left, center, medium",Zach,Yes
34,IMAGE_025.jpg,Short water bottle,"left, bottom, medium",Zach,Yes
35,IMAGE_025.jpg,Blue Water Bottle,"left, top, far",Zach,Yes
36,IMAGE_026.jpg,Candle stick,"center, center, close",Zach,Yes
37,IMAGE_027.jpg,Short water bottle,"right, top, close",Zach,Yes
38,IMAGE_028.jpg,Candle stick,"right, center, medium",Zach,Yes
39,IMAGE_029.jpg,Flowers,"right, center, medium",Zach,Yes
40,IMAGE_029.jpg,Knife,"left, center, medium",Zach,Yes
41,IMAGE_029.jpg,Spray Bottle,"left, center, medium",Zach,Yes
42,IMAGE_030.jpg,Cat,"center, center, medium",Zach,Yes
43,IMAGE_031.jpg,Computer Mouse,"center, center, medium",Zach,Yes
44,IMAGE_032.jpg,Basketball,"left, bottom, medium",Zach,Yes
45,IMAGE_033.jpg,Handheld vacuum,"center, top, medium",Zach,Yes
46,IMAGE_034.jpg,Chair,"center, center, medium",Zach,Yes
47,IMAGE_035.jpg,Globe,"right, bottom, medium",Zach,Yes
48,IMAGE_036.jpg,Crock sandal,"right, center, medium",Zach,Yes
49,IMAGE_037.jpg,Crock sandal,"left, center, medium",Zach,Yes
50,IMAGE_038.jpg,Globe,"center, center, medium",Zach,Yes
51,IMAGE_039.jpg,Chair,"right, center, medium",Zach,Yes
52,IMAGE_040.jpg,Basketball,"left, top, medium",Zach,Yes
53,IMAGE_041.jpg,Amazon box,"left, bottom, close",Zach,Yes
54,IMAGE_042.jpg,Pool,"center, center, medium",Ayan,Yes
55,IMAGE_043.jpg,Person,"left, center, close",Ayan,Yes
56,IMAGE_043.jpg,White Car,"right, center, far",Ayan,Yes
57,IMAGE_044.jpg,Tree,"center, bottom, medium",Ayan,Yes
58,IMAGE_045.jpg,Trash Can,"center, center, far",Ayan,Yes
59,IMAGE_046.jpg,Cup,"left, bottom, close",Ayan,Yes
60,IMAGE_047.jpg,Skate Board,"center, center, close",Joon,Yes
61,IMAGE_048.jpg,Candy,"center, center, close",Joon,Yes
62,IMAGE_049.jpg,Cereal,"center, center, close",Joon,Yes
63,IMAGE_050.jpg,Crock sandal,"center, center, close",Ayan,Yes
64,IMAGE_051.jpg,Amazon box,"center, center, close",Ayan,Yes
65,IMAGE_052.jpg,Tree,"right, center, medium",Ayan,Yes
66,IMAGE_053.jpg,Basketball,"center, center, medium",Ayan,Yes
67,IMAGE_054.jpg,Keyboard,"right, center, medium",Joon,Yes
68,IMAGE_054.jpg,Tissue Paper,"center, center, medium",Joon,Yes
69,IMAGE_055.jpg,Cereal,"left, center, medium",Joon,Yes
70,IMAGE_055.jpg,Water Bottle,"right, center, medium",Joon,Yes
71,IMAGE_055.jpg,One Dollar Bill,"right, center, medium",Joon,Yes
72,IMAGE_056.jpg,Ornaments,"center, top, far",Ayan,Yes
73,IMAGE_057.jpg,Candy,"right, center, medium",Joon,Yes
74,IMAGE_058.jpg,Dell Laptop,"right, bottom, medium",Joon,Yes
75,IMAGE_058.jpg,Orange Circle,"left, bottom, far",Joon,Yes
76,IMAGE_059.jpg,Lamp Post,"center, center, medium",Ayan,Yes
77,IMAGE_059.jpg,Maroon Colored Sign,"right, center, near",Ayan,Yes
78,IMAGE_060.jpg,Amazon box,"right, top, medium",Ayan,Yes
79,IMAGE_061.jpg,Globe,"left, bottom, close ",Ayan,Yes
80,IMAGE_062.jpg,Basketball,"right, top, medium",Ayan,Yes
81,IMAGE_062.jpg,Knife,"left, center, far",Ayan,Yes
82,IMAGE_063.jpg,Cereal,"right, bottom, close",Joon,Yes
83,IMAGE_064.jpg,Skate Board,"center, center, close",Joon,Yes
84,IMAGE_065.jpg,Lid,"right, bottom, medium",Joon,Yes
85,IMAGE_065.jpg,Padded Chair,"right, center, medium",Joon,Yes
86,IMAGE_066.jpg,Turkish Flah,"left, center, far",Ayan,Yes
87,IMAGE_067.jpg,Vaccum Cleaner,"center, center, close",Ayan,Yes
88,IMAGE_068.jpg,UFC Sign,"right, top, medium",Ayan,Yes
89,IMAGE_068.jpg,Person with blue shorts,"center, center, near",Ayan,Yes
90,IMAGE_069.jpg,Lamp Post,"center, center,  far",Ayan,Yes
91,IMAGE_070.jpg,Hot Airballoon with Red Stripes,"center, top, far",Ayan,Yes
92,IMAGE_071.jpg,Red Flowers,"center, center, far",Ayan,Yes
93,IMAGE_072.jpg,Toothpaste,"center, center, close",Joon,Yes
94,IMAGE_073.jpg,Candle,"center, center, far",Ayan,Yes
95,IMAGE_074.jpg,Water Bottle,"center, center, medium",Ayan,Yes
96,IMAGE_075.jpg,Windows,"center, center, medium",Ayan,Yes
97,IMAGE_076.jpg,Hammock,"center, center, medium",Ayan,Yes
98,IMAGE_077.jpg,Electric Guitar,"left, center, medium",Ayan,Yes
99,IMAGE_078.jpg,Door,"left, center, medium",Ayan,Yes
100,IMAGE_079.jpg,Blue Notebook,"center, center, close",Joon,Yes
101,IMAGE_080.jpg,Cereal,"center, center, medium",Joon,Yes
102,IMAGE_081.jpg,Weight Bench,"right, bottom, medium",Ayan,Yes
103,IMAGE_082.jpg,Lamp Post,"left, center, medium",Ayan,Yes
104,IMAGE_083.jpg,Rubber Band,"left, top, far",Ayan,Yes
